,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Aswan,24.0934,32.907,59.95,53,0,16.42,clear sky
295,Ciudad Bolivar,8.1222,-63.5497,74.71,77,1,9.8,clear sky
296,Pangody,65.85,74.4859,-40.92,80,29,9.24,scattered clouds
297,Mount Isa,-20.7333,139.5,84.2,54,40,16.11,scattered clouds
298,Tocopilla,-22.092,-70.1979,67.17,67,7,7.07,clear sky
299,Lillesand,58.2488,8.3778,42.01,87,75,14.97,light rain
300,Sale,34.0389,-6.8166,59.0,88,75,12.66,broken clouds
301,Aklavik,68.2191,-135.0107,-0.4,85,89,5.75,overcast clouds
302,Princeton,25.5384,-80.4089,64.0,94,90,1.54,fog
303,Verkhnyaya Inta,65.9811,60.3094,-19.14,83,46,2.44,scattered clouds
304,San Juan,-31.5375,-68.5364,80.19,25,0,14.58,clear sky
305,Jiuquan,39.7432,98.5174,37.38,71,0,2.77,clear sky
306,Pandan Niog,6.2282,120.5631,82.33,69,96,3.65,overcast clouds
307,Murray Bridge,-35.1167,139.2667,84.99,39,1,4.0,clear sky
308,Oranjemund,-28.55,16.4333,70.56,61,44,10.22,scattered clouds
309,Umm Lajj,25.0213,37.2685,71.74,24,0,11.01,clear sky
310,Atherton,53.5237,-2.4935,39.99,76,9,3.0,clear sky
311,Talnakh,69.4865,88.3972,-39.73,74,15,1.81,few clouds
312,Uvarovo,51.9849,42.2615,32.86,96,100,12.15,light snow
313,Manta,-0.95,-80.7333,75.2,88,90,2.3,overcast clouds
314,Yulara,-25.2406,130.9889,104.0,5,100,6.91,overcast clouds
315,Palapye,-22.546,27.1251,74.32,59,71,12.17,broken clouds
316,Yakeshi,49.2833,120.7333,1.26,91,9,1.43,clear sky
317,Knysna,-34.0363,23.0471,75.2,69,0,4.61,clear sky
318,Bako,5.7833,36.5667,79.52,35,100,0.87,overcast clouds
319,Kerema,-7.9631,145.7785,83.71,70,100,6.71,overcast clouds
320,Ulladulla,-35.35,150.4667,89.01,14,40,5.75,scattered clouds
321,Hofn,64.2539,-15.2082,28.54,88,0,24.34,clear sky
322,Songea,-10.6833,35.65,68.86,93,100,5.91,light rain
323,Cozumel,20.5083,-86.9458,72.0,88,42,7.07,scattered clouds
324,Santa Marta,11.2408,-74.199,82.0,61,13,25.01,few clouds
325,Diego De Almagro,-26.3667,-70.05,56.73,46,0,0.76,clear sky
326,Hirara,24.8,125.2833,71.6,100,75,9.22,light rain
327,Baicheng,45.6167,122.8167,21.31,79,0,9.84,clear sky
328,Sitka,57.0531,-135.33,33.8,93,40,5.75,scattered clouds
329,Huanan,46.2167,130.5167,7.07,92,3,2.86,clear sky
330,Bongandanga,1.5,21.05,82.71,52,37,2.04,scattered clouds
331,Guerrero Negro,27.9769,-114.0611,58.41,77,0,7.2,clear sky
332,Bambanglipuro,-7.95,110.2833,85.84,61,94,7.58,overcast clouds
333,Turukhansk,65.8167,87.9833,-36.76,76,0,7.29,clear sky
334,Filadelfia,39.9523,-75.1638,39.99,64,40,5.75,scattered clouds
335,Fez,34.0372,-4.9998,53.6,87,40,2.3,scattered clouds
336,Luba,3.4568,8.5547,71.6,77,20,3.44,few clouds
