City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
591,Nabire,ID,79.38,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
593,Forbes,AU,86.0,broken clouds,-33.3833,148.0167,Lake Forbes Motel
595,Umm Kaddadah,SD,75.58,scattered clouds,13.6017,26.6876,
598,Mudgee,AU,77.0,broken clouds,-32.5943,149.5871,Parklands Resort & Conference Centre
599,Dubti,ET,89.67,broken clouds,11.7361,41.0853,degu Shiferaw
601,Butterworth,MY,87.8,few clouds,5.3991,100.3638,Cititel Penang
605,Srandakan,ID,83.25,heavy intensity rain,-7.9386,110.2506,Puri Brata
609,Porto Novo,BJ,84.2,haze,6.4965,2.6036,Tour Eiffel Hotel Benin
614,Buloh Kasap,MY,82.4,few clouds,2.5536,102.764,Teratak Ixora Segamat
627,Anloga,GH,84.2,scattered clouds,5.7947,0.8973,Pin Drop Hotel
628,Xai-Xai,MZ,83.28,clear sky,-25.0519,33.6442,Complexo da Familia
637,Pakxan,LA,86.77,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
640,Caluquembe,AO,76.66,broken clouds,-13.7833,14.6833,
647,Acarau,BR,79.05,overcast clouds,-2.8856,-40.12,castelo pizzaria
657,Sola,VU,82.54,light rain,-13.8833,167.55,Leumerus Bungalows
659,Lahij,YE,80.96,clear sky,13.1667,44.5833,
660,Trincomalee,LK,80.94,overcast clouds,8.5711,81.2335,Welcombe Hotel
661,Bongor,TD,84.29,overcast clouds,10.2806,15.3722,Complexe le Confort
662,Saint-Joseph,RE,89.6,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
664,Qandala,SO,77.5,few clouds,11.472000000000001,49.8728,
665,Pedasi,PA,77.59,broken clouds,7.5333,-80.0333,Selina Pedasi
671,Iquitos,PE,75.2,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
673,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
674,Hervey Bay,AU,75.99,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
682,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,Fengshui Residence
693,Umm Lajj,SA,76.01,clear sky,25.0213,37.2685,Moon light Furnished Units
