,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
258,Puerto Quijarro,BO,-17.7833,-57.7667,72.09,97,100,2.51,moderate rain
259,Ribeira Grande,PT,38.5167,-28.7,62.6,100,75,20.71,light rain
260,Adrar,MR,20.5022,-10.0711,68.23,19,67,16.33,broken clouds
261,Sao Filipe,CV,14.8961,-24.4956,74.68,64,86,10.0,overcast clouds
262,Victoria,HK,22.2855,114.1577,72.0,78,8,3.56,clear sky
263,Lufilufi,WS,-13.8745,-171.5986,77.0,94,40,6.91,scattered clouds
264,Tommot,RU,58.9564,126.2925,-35.25,79,68,1.57,broken clouds
265,Buala,SB,-8.145,159.5921,79.47,67,39,6.55,scattered clouds
266,Half Moon Bay,US,37.4636,-122.4286,51.01,81,90,5.75,overcast clouds
267,Alibag,IN,18.6411,72.8792,86.0,45,0,11.5,smoke
268,Rochegda,RU,62.8,43.25,-11.0,88,100,6.4,overcast clouds
269,Beloha,MG,-25.1667,45.05,95.83,43,63,11.34,light rain
270,Asau,RO,46.4333,26.4,32.0,93,97,11.5,overcast clouds
271,Varadero,CU,23.1536,-81.2514,59.0,100,6,5.75,clear sky
272,Nsanje,MW,-16.92,35.262,77.36,85,100,4.74,overcast clouds
273,Siguiri,GN,11.6667,-9.5,80.53,15,98,6.93,overcast clouds
274,Muros,ES,42.7762,-9.0603,50.0,92,99,1.01,overcast clouds
275,Novyy Urengoy,RU,66.0833,76.6333,-45.74,78,59,8.5,broken clouds
276,Caravelas,BR,-17.7125,-39.2481,76.35,83,4,1.61,moderate rain
277,Yagunovskiy,RU,55.2828,85.978,1.4,85,0,11.18,clear sky
278,Koutiala,ML,12.3917,-5.4642,80.08,14,58,14.09,broken clouds
279,Taltal,CL,-25.4,-70.4833,62.31,73,3,3.02,clear sky
280,Belmonte,BR,-15.8631,-38.8828,71.6,88,40,4.61,scattered clouds
281,Forecariah,GN,9.4306,-13.0881,83.88,51,0,2.93,clear sky
282,Harrison,US,30.4091,-89.0436,64.99,94,90,5.75,mist
283,Nanortalik,GL,60.1432,-45.2371,21.83,87,0,1.66,clear sky
284,Cartagena,CO,10.3997,-75.5144,73.4,94,0,2.3,clear sky
285,Pakpattan,PK,30.341,73.3866,81.3,15,79,7.78,broken clouds
286,La Ronge,CA,55.1001,-105.2842,-4.0,84,54,4.61,broken clouds
287,Verkhoyansk,RU,67.5447,133.385,-37.84,79,94,1.52,overcast clouds
288,Bloemhof,ZA,-27.6469,25.607,88.57,33,52,5.19,broken clouds
289,Weihai,CN,37.5017,122.1136,34.92,86,100,7.56,overcast clouds
290,Ambilobe,MG,-13.2,49.05,86.67,71,100,4.07,light rain
291,Palimbang,PH,6.2106,124.1894,79.75,78,100,5.46,light rain
292,Vardo,NO,70.3705,31.1107,17.6,79,40,27.63,scattered clouds
293,Yellowknife,CA,62.456,-114.3525,-27.0,68,20,4.61,few clouds
294,Port Elizabeth,ZA,-33.918,25.5701,80.6,69,0,10.36,clear sky
295,Mar Del Plata,AR,-38.0023,-57.5575,70.0,100,90,6.91,mist
296,Saquarema,BR,-22.92,-42.5103,77.0,83,20,11.5,few clouds
297,Alugan,PH,12.2188,125.4808,80.51,83,2,6.35,clear sky
298,Dikson,RU,73.5069,80.5464,-26.61,86,3,5.23,clear sky
299,Pio Xii,BR,-3.8325,-45.1525,74.08,96,100,1.74,overcast clouds
300,Hobyo,SO,5.3505,48.5268,82.36,67,76,23.06,broken clouds
301,Kysyl-Syr,RU,63.8986,122.7617,-53.91,72,79,2.01,broken clouds
302,Ballina,AU,-28.8667,153.5667,73.4,64,63,8.05,broken clouds
303,Upernavik,GL,72.7868,-56.1549,19.83,96,90,10.45,overcast clouds
304,Bambous Virieux,MU,-20.3428,57.7575,86.0,65,40,10.36,scattered clouds
305,Omaha,US,41.2586,-95.9378,23.0,68,1,12.66,clear sky
306,Daru,PG,-9.0763,143.2092,80.11,86,86,9.26,light rain
307,Constitucion,CL,-35.3333,-72.4167,57.92,86,0,0.74,clear sky
308,Killybegs,IE,54.6333,-8.45,39.2,87,75,6.91,broken clouds
309,Kaitangata,NZ,-46.2817,169.8464,52.59,85,96,6.76,moderate rain
310,Matamoros,MX,25.5333,-103.25,58.32,66,2,1.66,clear sky
311,Shenjiamen,CN,29.9576,122.298,48.83,98,100,9.91,overcast clouds
312,Pringsewu,ID,-5.3582,104.9744,80.55,84,100,2.15,moderate rain
313,Berga,NO,60.392,5.328,37.4,93,75,4.61,broken clouds
314,Man,CI,7.4125,-7.5538,86.18,50,26,2.04,scattered clouds
315,Kavaratti,IN,10.5669,72.642,82.17,68,2,8.48,clear sky
316,Sidney,AU,-33.8679,151.2073,80.6,57,0,18.41,clear sky
317,Turukhansk,RU,65.8167,87.9833,-38.99,74,0,7.4,clear sky
318,Kenai,US,60.5544,-151.2583,35.01,80,90,6.91,overcast clouds
319,Ejido,VE,8.5514,-71.2375,60.06,58,28,6.93,scattered clouds
320,Palazzolo Acreide,IT,37.0623,14.9035,60.8,63,20,8.05,few clouds
321,Nogliki,RU,51.8333,143.1667,-4.52,89,100,12.12,overcast clouds
322,Funtua,NG,11.5233,7.3081,73.15,20,76,19.17,broken clouds
